ï»¿CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly
1,22,25,14,4,27,598,9,1,False,False,False,True,False
2,41,28,28,7,13,584,20,0,False,False,True,True,False
3,47,27,10,2,29,757,21,0,True,True,False,False,False
4,35,9,12,5,17,232,18,0,True,True,False,False,True
5,53,58,24,9,2,533,18,0,False,False,True,False,False
6,30,41,14,10,10,500,29,0,True,True,False,True,False
7,47,37,15,9,28,574,14,1,False,False,False,False,True
8,54,36,11,0,18,323,16,0,False,False,True,True,False
9,36,20,5,10,8,687,8,0,True,False,False,True,False
10,65,8,4,2,23,995,10,0,True,False,False,False,False
11,46,42,27,9,21,526,3,1,False,False,True,False,False
12,56,13,23,5,14,187,1,0,True,False,False,False,True
13,31,2,7,0,25,758,24,0,True,True,False,False,True
14,42,46,27,5,8,438,30,0,True,True,False,False,True
15,59,21,17,2,14,663,15,0,True,True,False,False,True
16,35,1,3,7,3,677,25,1,False,False,False,True,False
17,29,54,3,6,2,636,22,0,True,False,False,True,False
18,45,9,30,4,25,127,18,0,True,False,False,False,False
19,65,40,2,1,6,396,21,0,False,True,False,False,False
20,62,39,19,2,15,202,24,0,True,True,False,False,True
21,48,28,7,1,21,925,13,0,True,True,False,True,False
22,36,58,4,0,1,463,26,0,False,True,False,False,True
23,55,50,28,0,17,449,3,0,True,False,True,False,True
24,36,54,20,4,1,373,25,0,False,False,False,True,False
25,64,59,7,5,9,460,12,0,True,False,False,False,False
26,65,58,7,3,30,166,1,1,False,True,False,False,False
27,53,58,18,8,4,615,4,0,False,False,False,False,True
28,41,60,7,7,0,696,20,0,False,True,False,False,False
29,25,41,11,5,11,678,30,0,False,True,False,False,False
30,44,44,7,8,16,792,27,1,False,False,False,False,True
31,28,23,8,8,0,812,3,0,False,False,False,False,False
32,34,26,3,0,2,156,15,0,True,False,False,False,False
33,24,1,7,0,3,611,4,0,True,False,True,False,False
34,27,41,8,1,7,943,12,0,False,True,False,True,False
35,31,31,6,2,29,329,6,1,False,False,True,False,True
36,46,30,10,4,16,493,1,0,True,False,True,True,False
37,59,44,17,3,2,636,30,0,True,False,False,False,True
38,56,27,15,8,24,384,6,1,False,False,True,True,False
39,27,44,21,3,22,515,1,0,False,True,False,False,False
40,42,51,10,9,11,820,17,0,True,False,False,True,False
41,29,28,23,7,16,1000,26,1,False,False,False,False,True
42,36,45,24,5,2,405,4,0,True,True,False,False,True
43,61,19,2,7,2,879,4,1,True,True,False,True,False
44,57,2,26,5,14,771,4,0,True,True,False,True,False
45,56,9,16,1,22,600,17,0,True,True,False,True,False
46,42,14,14,8,12,825,19,0,False,False,False,True,False
47,36,24,21,8,29,231,8,1,False,False,False,True,False
48,37,13,26,2,26,259,15,0,True,False,False,False,True
49,51,15,26,10,25,244,1,1,False,False,False,False,True
50,57,46,30,2,21,705,5,0,False,False,True,False,False
51,47,47,4,7,3,136,14,0,False,False,True,True,False
52,29,3,5,0,23,843,6,0,True,False,True,True,False
53,45,17,4,5,23,402,8,1,False,False,True,False,False
54,18,22,21,3,30,919,3,0,False,True,False,False,False
55,27,57,4,10,20,699,4,1,True,True,False,False,False
56,23,34,20,3,26,733,1,0,True,False,False,False,False
57,60,24,11,9,10,563,10,0,True,False,True,True,False
58,57,24,28,3,24,448,12,0,True,True,False,False,False
59,28,29,3,2,21,172,2,1,False,True,False,False,True
